RA[deg] Ê Ê Ê,Dec[deg] Ê
90.819,-0.785
54.856,-39.196
358.256,74.105
288.487,-1.242
99.909,-83.744
56.346,30.649
16.178,-17.425
157.96,34.484
6.389,58.094
299.846,-33.703
115.065,16.492
150.561,12.977
258.51,-20.954
118.156,-36.279
201.981,-9.716
316.372,59.955
176.132,-17.46
128.459,36.855
158.125,-46.071
66.157,3.583
103.202,45.854
278.276,-68.784
359.397,-36.343
39.574,-15.254
131.987,34.986
169.504,-5.558
71.185,-11.531
348.39,-1.599
236.252,-61.013
324.481,35.023
313.8,-12.14
300.143,-30.375
10.991,-67.361
66.086,2.551
313.196,-31.789
100.476,-60.99
93.654,36.402
162.313,-13.379
96.451,-0.261
193.371,46.845
295.668,-54.587
359.583,2.6
343.862,-25.085
260.372,40.115
44.607,32.723
341.163,-70.177
235.918,-54.551
55.653,16.133
188.117,-42.859
224.683,-15.756
131.813,-40.325
293.548,18.217
96.306,21.917
347.602,-45.366
323.623,38.977
346.978,45.694
273.3,13.206
355.482,-59.823
359.08,-84.006
276.986,-49.334
48.068,-22.964
338.489,55.465
161.517,53.188
202.769,42.035
163.772,-12.886
144.455,18.42
49.111,7.15
174.913,32.44
205.671,-0.965
109.154,-29.479
319.922,-1.892
318.403,8.304
283.266,-5.284
90.057,39.727
20.167,7.328
57.004,-16.204
150.116,59.071
325.161,-29.683
52.893,-8.785
359.237,10.007
16.509,-56.295
204.302,14.317
28.072,-45.053
256.789,-26.409
272.211,-25.161
231.081,70.43
71.874,5.05
77.036,-14.531
250.161,56.855
98.697,-37.232
209.755,-33.183
137.68,20.389
12.826,-56.093
200.063,-62.788
334.935,0.313
115.541,-38.073
173.486,-59.412
84.984,-12.08
236.868,13.276
27.183,58.934
111.973,20.265
154.914,-17.728
343.477,-11.171
345.7,-4.913
165.188,-80.765
302.188,-62.209
81.467,8.657
106.266,7.633
261.11,59.788
287.6,-9.5
298.365,-36.181
243.278,-25.91
80.289,-38.861
355.072,14.771
312.145,-24.991
341.6,5.152
154.355,-30.191
36.602,-18.129
58.1,-40.307
244.072,49.087
92.626,0.695
145.698,-4.997
263.078,61.214
258.718,19.37
218.048,17.896
2.189,-39.157
335.702,35.739
152.604,5.035
309.655,-0.134
8.509,-54.431
290.042,-25.492
304.163,-80.945
27.478,16.469
212.451,-14.768
317.959,25.441
53.633,-27.934
267.126,-66.923
270.296,-66.742
94.557,-10.2
222.887,-31.122
156.485,-63.725
187.318,8.051
106.217,28.634
26.812,3.251
349.352,50.944
204.048,11.246
342.211,37.87
299.608,-84.144
353.307,-64.413
247.869,12.725
129.441,-66.325
203.323,-6.779
123.028,-59.274
133.856,-77.346
63.725,-23.849
227.051,4.122
234.171,-62.508
124.336,7.695
41.713,-69.898
110.242,-19.214
283.184,21.697
224.123,16.818
264.727,32.329
246.865,-22.544
255.479,-33.877
115.683,-18.73
314.817,52.004
313.327,-81.37
274.099,-20.298
207.904,25.428
242.881,-11.616
195.629,-50.854
219.416,17.129
284.263,-27.517
88.773,-3.807
311.924,74.182
224.865,-43.358
283.997,-0.68
333.851,5.32
243.174,-31.297
214.581,-65.347
79.467,38.305
193.203,21.844
45.208,-41.127
194.089,26.292
84.094,-33.335
290.745,-30.969
241.016,-8.02
15.161,-17.25
67.926,-80.426
271.408,64.346
288.082,28.22
342.801,-12.299
40.068,12.738
49.954,-22.657
88.244,58.738
306.483,0.908
96.997,-30.608
104.71,6.897
154.662,-80.095
163.548,-6.107
91.193,-4.923
141.938,-31.336
45.777,5.157
329.209,-26.19
331.844,76.962
181.767,-24.831
279.91,-59.094
133.279,-46.993
113.519,-19.121
344.861,-56.076
338.497,-20.137
